[INFO] 2025-10-16 17:49:51,263 activity 2025-10-16T14:49:51.263680+00:00 method=GET path='/sw/control/dashboard/' status=200 ms=181 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 17:58:58,083 activity 2025-10-16T14:58:58.083104+00:00 method=GET path='/sw/control/dashboard/' status=200 ms=182 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 17:59:15,876 activity 2025-10-16T14:59:15.876173+00:00 method=GET path='/sw/control/dashboard/' status=200 ms=187 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 17:59:26,530 activity 2025-10-16T14:59:26.530478+00:00 method=GET path='/sw/control/dashboard/' status=200 ms=91 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 17:59:29,906 activity 2025-10-16T14:59:29.906501+00:00 method=GET path='/sw/control/analytics/' status=500 ms=175 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:00:07,880 activity 2025-10-16T15:00:07.880055+00:00 method=GET path='/sw/control/analytics/' status=500 ms=139 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:00:13,235 activity 2025-10-16T15:00:13.235540+00:00 method=GET path='/sw/control/analytics/' status=500 ms=108 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:00:24,865 activity 2025-10-16T15:00:24.865560+00:00 method=GET path='/sw/control/analytics/' status=500 ms=59 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:01:17,143 activity 2025-10-16T15:01:17.143442+00:00 method=GET path='/sw/control/analytics/' status=200 ms=85 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:01:42,215 activity 2025-10-16T15:01:42.215792+00:00 method=GET path='/sw/control/analytics/?period=7' status=200 ms=17 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:02:10,014 activity 2025-10-16T15:02:10.014118+00:00 method=GET path='/sw/control/analytics/?period=30' status=200 ms=15 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
